"Date","Price","Open","High","Low","Vol.","Change %"
"05/14/2024","72.99","73.23","74.14","72.64","4.89M","0.91%"
"05/13/2024","72.33","71.29","73.06","71.01","4.43M","2.65%"
"05/10/2024","70.46","71.78","71.78","69.93","3.67M","-1.12%"
"05/09/2024","71.26","70.51","71.84","70.29","5.47M","0.83%"
"05/08/2024","70.67","69.65","70.74","69.07","4.10M","-0.17%"
"05/07/2024","70.79","70.46","72.44","70.27","6.89M","1.61%"
"05/06/2024","69.67","70.68","70.99","69.01","6.05M","-0.99%"
"05/03/2024","70.37","71.65","72.26","69.98","6.52M","0.51%"
"05/02/2024","70.01","70.22","70.85","68.06","6.51M","1.45%"
"05/01/2024","69.01","68.99","71.92","68.76","8.88M","-1.64%"
"04/30/2024","70.16","70.00","72.75","69.94","8.42M","-0.93%"
"04/29/2024","70.82","68.00","71.44","67.58","13.47M","4.06%"
"04/26/2024","68.06","66.22","68.96","66.17","12.86M","2.53%"
"04/25/2024","66.38","65.55","67.32","65.47","9.33M","1.30%"
"04/24/2024","65.53","67.17","67.45","64.33","12.81M","6.24%"
"04/23/2024","61.68","60.58","61.98","60.37","6.92M","1.70%"
"04/22/2024","60.65","61.02","61.31","59.34","7.41M","-0.10%"
"04/19/2024","60.71","61.15","62.51","60.26","9.86M","-3.53%"
"04/18/2024","62.93","63.01","63.77","61.51","8.44M","-2.39%"
"04/17/2024","64.47","65.28","65.87","64.11","6.83M","-0.39%"
"04/16/2024","64.72","65.40","65.50","64.06","5.21M","-1.40%"
"04/15/2024","65.64","67.85","67.95","64.88","7.08M","-1.50%"
"04/12/2024","66.64","69.19","69.38","66.57","7.45M","-5.61%"
"04/11/2024","70.60","69.64","70.77","69.06","5.21M","1.98%"
"04/10/2024","69.23","69.23","70.02","68.39","4.86M","-2.41%"
"04/09/2024","70.94","69.83","71.98","69.64","6.34M","3.19%"
"04/08/2024","68.75","69.31","70.36","68.58","3.92M","-0.82%"
"04/05/2024","69.32","69.10","69.67","68.11","7.57M","0.32%"
"04/04/2024","69.10","71.39","72.54","68.80","7.28M","-2.30%"
"04/03/2024","70.73","70.29","71.51","69.87","5.31M","0.35%"
"04/02/2024","70.48","71.80","72.00","70.31","7.11M","-4.56%"
"04/01/2024","73.85","73.89","74.89","73.14","4.60M","0.41%"
"03/28/2024","73.55","75.43","76.08","73.38","7.41M","-2.72%"
"03/27/2024","75.61","73.92","75.77","73.00","6.72M","3.73%"
"03/26/2024","72.89","74.00","74.16","72.67","5.88M","-0.88%"
"03/25/2024","73.54","72.20","74.55","72.12","5.46M","-1.53%"
"03/22/2024","74.68","75.00","75.74","73.86","3.35M","-1.45%"
"03/21/2024","75.78","76.83","77.41","75.17","5.93M","0.28%"
"03/20/2024","75.57","73.64","76.05","73.08","5.95M","2.07%"
"03/19/2024","74.04","73.16","74.56","72.85","4.61M","0.30%"
"03/18/2024","73.82","75.49","75.72","73.73","5.86M","-1.40%"
"03/15/2024","74.87","74.44","76.28","74.44","9.73M","-2.98%"
"03/14/2024","77.17","79.43","79.69","76.15","6.78M","-3.40%"
"03/13/2024","79.89","81.13","82.33","79.69","5.26M","-3.27%"
"03/12/2024","82.59","82.30","82.65","80.29","5.92M","1.21%"
"03/11/2024","81.60","78.66","81.60","78.11","6.60M","3.36%"
"03/08/2024","78.95","82.44","83.64","78.90","7.83M","-4.83%"
"03/07/2024","82.96","77.83","85.16","77.83","10.64M","6.88%"
"03/06/2024","77.62","78.81","79.39","77.06","8.11M","0.82%"
"03/05/2024","76.99","78.40","79.27","75.72","6.56M","-3.62%"
"03/04/2024","79.88","81.76","81.95","79.43","5.36M","-1.55%"
"03/01/2024","81.14","79.16","82.33","78.77","6.85M","2.81%"
"02/29/2024","78.92","77.61","79.08","77.04","7.60M","3.20%"
"02/28/2024","76.47","75.96","77.21","75.56","3.36M","-0.65%"
"02/27/2024","76.97","78.50","79.81","76.97","4.92M","-0.77%"
"02/26/2024","77.57","76.87","78.31","76.36","4.44M","1.81%"
"02/23/2024","76.19","78.10","78.38","76.19","6.00M","-2.77%"
"02/22/2024","78.36","79.59","79.59","77.45","8.04M","0.95%"
"02/21/2024","77.62","76.37","77.71","76.12","5.60M","0.19%"
"02/20/2024","77.47","77.42","77.95","76.23","5.26M","-1.49%"
"02/16/2024","78.64","80.94","81.21","78.19","4.91M","-2.46%"
"02/15/2024","80.62","82.23","82.60","80.45","5.52M","-1.29%"
"02/14/2024","81.67","79.91","81.82","79.21","8.51M","3.92%"
"02/13/2024","78.59","78.00","79.66","77.15","7.44M","-2.88%"
"02/12/2024","80.92","81.00","83.43","80.68","6.58M","0.15%"
"02/09/2024","80.80","81.39","81.59","79.71","6.27M","0.11%"
"02/08/2024","80.71","77.13","80.93","77.13","8.99M","4.87%"
"02/07/2024","76.96","77.04","77.48","75.09","7.46M","0.84%"
"02/06/2024","76.32","77.03","77.37","74.90","11.11M","-1.64%"
"02/05/2024","77.59","75.60","78.75","75.44","16.00M","9.54%"
"02/02/2024","70.83","69.20","71.14","68.78","9.87M","0.91%"
"02/01/2024","70.19","71.60","71.95","69.25","9.57M","-1.32%"
"01/31/2024","71.13","71.43","73.06","70.72","7.18M","-1.98%"
"01/30/2024","72.57","72.91","73.60","72.17","6.61M","-0.62%"
"01/29/2024","73.02","72.25","73.02","71.67","8.61M","1.83%"
"01/26/2024","71.71","72.10","73.60","71.46","10.02M","-1.35%"
"01/25/2024","72.69","75.86","75.96","72.31","13.00M","-3.27%"
"01/24/2024","75.15","76.27","77.47","75.00","8.80M","-2.08%"
"01/23/2024","76.75","75.98","77.07","75.29","6.94M","2.07%"
"01/22/2024","75.19","74.50","76.62","74.36","7.96M","1.79%"
"01/19/2024","73.87","74.20","74.48","72.60","12.68M","0.89%"
"01/18/2024","73.22","74.01","74.56","71.93","11.31M","1.31%"
"01/17/2024","72.27","72.32","72.40","70.70","8.16M","-2.07%"
"01/16/2024","73.80","73.13","74.83","72.55","6.90M","0.45%"
"01/12/2024","73.47","74.20","75.33","73.25","5.10M","-1.29%"
"01/11/2024","74.43","75.59","75.90","72.94","10.26M","-1.56%"
"01/10/2024","75.61","76.00","76.35","73.17","11.84M","-1.84%"
"01/09/2024","77.03","76.60","77.89","75.76","7.56M","-1.17%"
